,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
PRIL88B,,PRIL88B,LC,SU,1988 Apr,1988 Apr,Priliv 88,Priliv cruise 1988,-,,,,SU,-                -,,OCEAN
PRIL88C,,PRIL88C,LC,SU,1988 Dec,1989 Mar,Priliv 88,Priliv cruise 1988,-,,,,SU,-                -,,OCEAN
PRIL90A,,PRIL90A,LC,SU,1990 Jan,1990 Mar,Priliv 90,Priliv cruise 1990,-,,,,SU,-                -,,OCEAN
RODR,,RODR,LC,SU,1968,1969,IOR4  M9046,Soviet meteo ship launch site near Rodrigues Island,Indian Ocean,65.0000,-20.0000,0.1000,SU,-                -,,OCEAN
SHIR72A,,SHIR72A,LC,SU,1972 Jan,1972 Mar,SHIR72A,Shirsov cruise Jan-Mar 1972,-,,,,SU,-                -,,OCEAN
SHIR72B,,SHIR72B,LC,SU,1972 Jul,1972 Aug,SHIR72B,Shirsov cruise Jul-Aug 1972,-,,,,SU,-                -,,OCEAN
SHIR72C,,SHIR72C,LC,SU,1972 Dec,1973 Mar,SHIR72C,Shirsov cruise Dec 1972  - Mar 1973,-,,,,SU,-                -,,OCEAN
SHIR73A,,SHIR73A,LC,SU,1973,1973,SHIR73A,Shirsov cruise Jul-Sep 1973,-,,,,SU,-                -,,OCEAN
SHIR73B,,SHIR73B,LC,SU,1973 Dec,1974 Mar,SHIR73B,Shirsov cruise Dec 1973,-,,,,SU,-                -,,OCEAN
SHIR74A,,SHIR74A,LC,SU,1974 Dec,1975 Jan,SHIR74,Shirsov cruise Dec 1974-Jan 1975,-,,,,SU,-                -,,OCEAN
SHIR75A,,SHIR75A,LC,SU,1975 Mar,1975 Mar,SHIR75A,Shirsov cruise Mar 1975,-,,,,SU,-                -,,OCEAN
SHIR75B,,SHIR75B,LC,SU,1975 May,1975 Jun,SHIR75B,Shirsov cruise May-Jun 1975,-,,,,SU,-                -,,OCEAN
SHIR76A,,SHIR76A,LC,SU,1976 Jan,1976 Feb,SHIR76A,Shirsov cruise Jan-Feb 1976,-,,,,SU,-                -,,OCEAN
SHIR76B,,SHIR76B,LC,SU,1976 Oct,1977 Feb,SHIR76B,Shirsov cruise Oct 1976-Feb 1977,-,,,,SU,-                -,,OCEAN
SHIR78A,,SHIR78A,LC,SU,1978 Mar,1978 Mar,SHIR78A,Shirsov cruise Mar 1978,-,,,,SU,-                -,,OCEAN
SHIR79A,,SHIR79A,LC,SU,1979 Apr,1979 May,SHIR79A,Shirsov cruise May 1979,-,,,,SU,-                -,,OCEAN
SHIR80A,,SHIR80A,LC,SU,1980 Feb,1980 Mar,SHIR80A,Shirsov cruise 1980,-,,,,SU,-                -,,OCEAN
SHIR80B,,SHIR80B,LC,SU,1980 Apr,1980 Jun,SHIR80B,Shirsov cruise 1980,-,,,,SU,-                -,,OCEAN
SHIR81A,,SHIR81A,LC,SU,1981 Jan,1981 Mar,SHIR81A,Shirsov cruise 1981,-,,,,SU,-                -,,OCEAN
SHIR82A,,SHIR82A,LC,SU,1982 May,1982 Jul,SHIR82A,Shirsov cruise 1982,-,,,,SU,-                -,,OCEAN
SHIR83A,,SHIR83A,LC,SU,1983 Feb,1983 Mar,SHIR83A,Shirsov cruise 1983,-,,,,SU,-                -,,OCEAN
SHIR85A,,SHIR85A,LC,SU,1985 Oct,1986 Jan,SHIR85A,Shirsov cruise 1985,-,,,,SU,-                -,,OCEAN
SHIR86A,,SHIR86A,LC,SU,1986 Apr,1986 Jun,SHIR86A,Shirsov cruise 1986,-,,,,SU,-                -,,OCEAN
SHIR87A,,SHIR87A,LC,SU,1987 Jan,1987 Feb,SHIR87A,Shirsov cruise 1987,-,,,,SU,-                -,,OCEAN
SHIR87B,,SHIR87B,LC,SU,1987 Oct,1987 Dec,SHIR87B,Shirsov cruise 1987,-,,,,SU,-                -,,OCEAN
SHIR88A,,SHIR88A,LC,SU,1988 Mar,1988 May,SHIR88A,Shirsov cruise 1988,-,,,,SU,-                -,,OCEAN
SHIR89A,,SHIR89A,LC,SU,1989 Aug,1989 Oct,SHIR89A,Shirsov cruise 1989,-,,,,SU,-                -,,OCEAN
SHIR90A,,SHIR90A,LC,SU,1990 Jan,1990 Mar,SHIR90A,Shirsov cruise 1990,-,,,,SU,-                -,,OCEAN
SHOK74A,,SHOK74A,LC,SU,1974 Jan,1974 Mar,SHOK74A,Shokalskiy cruise 1974,-,,,,SU,-                -,,OCEAN
SHOK74B,,SHOK74B,LC,SU,1974 Aug,1974 Nov,SHOK74B,Shokalskiy cruise 1974,-,,,,SU,-                -,,OCEAN
SHOK75A,,SHOK75A,LC,SU,1975 Apr,1975 Jun,SHOK75A,Shokalskiy cruise 1975,-,,,,SU,-                -,,OCEAN
SHOK76A,,SHOK76A,LC,SU,1976 Feb,1976 Apr,SHOK76A,Shokalskiy cruise 1976,-,,,,SU,-                -,,OCEAN
SHOK76B,,SHOK76B,LC,SU,1976 Jun,1976 Aug,SHOK76B,Shokalskiy cruise 1976,-,,,,SU,-                -,,OCEAN
SHOK76C,,SHOK76C,LC,SU,1976 Dec,1977 Jan,SHOK76C,Shokalskiy cruise 1976,-,,,,SU,-                -,,OCEAN
SHOK77A,,SHOK77A,LC,SU,1977 May,1977 Jul,SHOK77A,Shokalskiy cruise 1977,-,,,,SU,-                -,,OCEAN
SHOK77B,,SHOK77B,LC,SU,1977 Nov,1978 Jan,SHOK77B,Shokalskiy cruise 1977,-,,,,SU,-                -,,OCEAN
SHOK79A,,SHOK79A,LC,SU,1979 Feb,1979 Mar,SHOK79A,Shokalskiy cruise 1979,-,,,,SU,-                -,,OCEAN
SHOK79B,,SHOK79B,LC,SU,1979 Jun,1979 Aug,SHOK79B,Shokalskiy cruise 1979,-,,,,SU,-                -,,OCEAN
SHOK79C,,SHOK79C,LC,SU,1979 Nov,1980 Jan,SHOK79C,Shokalskiy cruise 1979,-,,,,SU,-                -,,OCEAN
UNKMR1,,UNKMR1,LC,SU,1966 Dec,1967 Feb,UNKMR1,"Unknown Soviet ship cruise, Dec 1966-Feb 1967",-,,,,SU,-                -,,OCEAN
UNKMR2,,UNKMR2,LC,SU,1966 Dec,1967 Feb,UNKMR2,"Unknown Soviet ship cruise, Dec 1966-Feb 1967",-,,,,SU,-                -,,OCEAN
UNKMR3,,UNKMR3,LC,SU,1968 Jul,1968 Sep,UNKMR3,"Unknown Soviet ship cruise, Jul-Sep 1968",-,,,,SU,-                -,,OCEAN
UNKMR4,,UNKMR4,LC,SU,1969 Jan,1969 Feb,UNKMR4,"Unknown Soviet ship cruise, Jan 1969",-,,,,SU,-                -,,OCEAN
UNKMR5,,UNKMR5,LC,SU,1969 May,1969 Jul,UNKMR5,"Unknown Soviet ship cruise, May-Jun 1969",-,,,,SU,-                -,,OCEAN
UNKMR6,,UNKMR6,LC,SU,1969 Sep,1969 Oct,UNKMR6,"Unknown Soviet ship cruise, Sep-Oct 1969",-,,,,SU,-                -,,OCEAN
UNKMR7,,UNKMR7,LC,SU,1970 Jan,1970 Feb,UNKMR7,"Unknown Soviet ship cruise, Jan-Feb 1970",-,,,,SU,-                -,,OCEAN
UNKMR8,,UNKMR8,LC,SU,1970 Mar,1970 Apr,UNKMR8,"Unknown Soviet ship cruise, Mar-Apr 1970",-,,,,SU,-                -,,OCEAN
UNKMR9,,UNKMR9,LC,SU,1970 Jun,1970 Jul,UNKMR9,"Unknown Soviet ship cruise, Jun-Jul 1970",-,,,,SU,-                -,,OCEAN
UNKMR10,,UNKMR10,LC,SU,1970 Oct,1971 Feb,UNKMR10,"Unknown Soviet ship cruise, Oct 1970-Feb 1971",-,,,,SU,-                -,,OCEAN
UNKMR11,,UNKMR11,LC,SU,1971 May,1971 Jul,UNKMR11,"Unknown Soviet ship cruise, May-Jul 1971",-,,,,SU,-                -,,OCEAN
NOKV73A,,NOKV73A,LC,SU,1973,1973,NOKV73A,Noyekov cruise May-Jul 1973,-,,,,SU,-                -,,OCEAN
NOKV73B,,NOKV73B,LC,SU,1973,1973,NOKV73B,Noyekov cruise Oct-Dec 1973,-,,,,SU,-                -,,OCEAN
USHA76A,,USHA76A,LC,SU,1976 Apr,1976 Jun,Ushakov 76,Ushakov cruise 1976,-,,,,SU,-                -,,OCEAN
USHA76B,,USHA76B,LC,SU,1976 Aug,1976 Oct,Ushakov 76,Ushakov cruise 1976,-,,,,SU,-                -,,OCEAN
USHA77A,,USHA77A,LC,SU,1977 Apr,1977 Jun,Ushakov 77,Ushakov cruise 1977,-,,,,SU,-                -,,OCEAN
USHA77B,,USHA77B,LC,SU,1977 Jul,1977 Sep,Ushakov 77,Ushakov cruise 1977,-,,,,SU,-                -,,OCEAN
USHA78A,,USHA78A,LC,SU,1978 Feb,1978 Feb,Ushakov 78,Ushakov cruise 1978,-,,,,SU,-                -,,OCEAN
USHA78B,,USHA78B,LC,SU,1978 Apr,1978 Apr,Ushakov 78,Ushakov cruise 1978,-,,,,SU,-                -,,OCEAN
USHA79A,,USHA79A,LC,SU,1979 Nov,1979 Dec,Ushakov 79,Ushakov cruise 1979,-,,,,SU,-                -,,OCEAN
USHA80A,,USHA80A,LC,SU,1980 Mar,1980 Mar,Ushakov 80,Ushakov cruise 1980,-,,,,SU,-                -,,OCEAN
USHA86A,,USHA86A,LC,SU,1986 Sep,1986 Sep,Ushakov 86,Ushakov cruise 1986,-,,,,SU,-                -,,OCEAN
USHA87A,,USHA87A,LC,SU,1987 Nov,1987 Dec,Ushakov 87,Ushakov cruise 1987,-,,,,SU,-                -,,OCEAN
USHA88A,,USHA88A,LC,SU,1988 Feb,1988 Mar,Ushakov 88,Ushakov cruise 1988,-,,,,SU,-                -,,OCEAN
USHA88B,,USHA88B,LC,SU,1988 May,1988 Jun,Ushakov 88,Ushakov cruise 1988,-,,,,SU,-                -,,OCEAN
USHA88C,,USHA88C,LC,SU,1988 Aug,1988 Sep,Ushakov 88,Ushakov cruise 1988,-,,,,SU,-                -,,OCEAN
USHA89A,,USHA89A,LC,SU,1989 Oct,1989 Oct,Ushakov 89,Ushakov cruise 1989,-,,,,SU,-                -,,OCEAN
USHA90A,,USHA90A,LC,SU,1990 Jan,1990 Jan,Ushakov 90,Ushakov cruise 1990,-,,,,SU,-                -,,OCEAN
VOKV82A,,VOKV82A,LC,SU,1982 Nov,1983 Jan,Voyekov 82,Vokeyov cruise 1982,-,,,,SU,-                -,,OCEAN
VOKV83A,,VOKV83A,LC,SU,1983 Aug,1983 Sep,Voyekov 83,Vokeyov cruise 1983,-,,,,SU,-                -,,OCEAN
VOKV86A,,VOKV86A,LC,SU,1986 Aug,1986 Aug,Voyekov 86,Vokeyov cruise 1986,-,,,,SU,-                -,,OCEAN
VOKV87A,,VOKV87A,LC,SU,1987 May,1987 Jun,Voyekov 87,Vokeyov cruise 1987,-,,,,SU,-                -,,OCEAN
VOLN76A,,VOLN76A,LC,SU,1976 Feb,1976 Mar,Volna 76,Volna cruise 1976,-,,,,SU,-                -,,OCEAN
VOLN77A,,VOLN77A,LC,SU,1977 Mar,1977 May,Volna 77,Volna cruise 1977,-,,,,SU,-                -,,OCEAN
VOLN78A,,VOLN78A,LC,SU,1978 Mar,1978 Mar,Volna 78,Volna cruise 1978,-,,,,SU,-                -,,OCEAN
VOLN79A,,VOLN79A,LC,SU,1979 Dec,1979 Dec,Volna 79,Volna cruise 1979,-,,,,SU,-                -,,OCEAN
VOLN80A,,VOLN80A,LC,SU,1980 Feb,1980 Feb,Volna 80,Volna cruise 1980,-,,,,SU,-                -,,OCEAN
VOLN81A,,VOLN81A,LC,SU,1981 Jan,1981 Mar,Volna 81,Volna cruise 1981,-,,,,SU,-                -,,OCEAN
MUSS77A,,MUSS77A,LC,SU,1977 Dec,1977 Dec,Musson 77,Musson cruise 1977,-,,,,SU,-                -,,OCEAN
MUSS78A,,MUSS78A,LC,SU,1978 Mar,1978 Apr,Musson 78,Musson cruise 1978,-,,,,SU,-                -,,OCEAN
MUSS78B,,MUSS78B,LC,SU,1978 Nov,1978 Nov,Musson 78,Musson cruise 1978,-,,,,SU,-                -,,OCEAN
MUSS79A,,MUSS79A,LC,SU,1979 Feb,1979 Feb,Musson 79,Musson cruise 1979,-,,,,SU,-                -,,OCEAN
MUSS79B,,MUSS79B,LC,SU,1979 May,1979 Jun,Musson 79,Musson cruise 1979,-,,,,SU,-                -,,OCEAN
MUSS81A,,MUSS81A,LC,SU,1981 Sep,1981 Oct,Musson 81,Musson cruise 1981,-,,,,SU,-                -,,OCEAN
MUSS82A,,MUSS82A,LC,SU,1982 Jan,1982 Jan,Musson 82,Musson cruise 1982,-,,,,SU,-                -,,OCEAN
MUSS82B,,MUSS82B,LC,SU,1982 Apr,1982 May,Musson 82,Musson cruise 1982,-,,,,SU,-                -,,OCEAN
MUSS83A,,MUSS83A,LC,SU,1983 May,1983 May,Musson 83,Musson cruise 1983,-,,,,SU,-                -,,OCEAN
MUSS83B,,MUSS83B,LC,SU,1983 Aug,1983 Aug,Musson 83,Musson cruise 1983,-,,,,SU,-                -,,OCEAN
MUSS85A,,MUSS85A,LC,SU,1985 Oct,1985 Nov,Musson 85,Musson cruise 1985,-,,,,SU,-                -,,OCEAN
MUSS87A,,MUSS87A,LC,SU,1987 Jul,1987 Jul,Musson 87,Musson cruise 1987,-,,,,SU,-                -,,OCEAN
MUSS89A,,MUSS89A,LC,SU,1989 Jun,1989 Jun,Musson 89,Musson cruise 1989,-,,,,SU,-                -,,OCEAN
PASS80A,,PASS80A,LC,SU,1980 Feb,1980 Mar,Passat 80,Passat cruise 1980,-,,,,SU,-                -,,OCEAN
PASS82A,,PASS82A,LC,SU,1982 Feb,1982 Feb,Passat 82,Passat cruise 1982,-,,,,SU,-                -,,OCEAN
PASS82B,,PASS82B,LC,SU,1982 May,1982 May,Passat 82,Passat cruise 1982,-,,,,SU,-                -,,OCEAN
PASS86A,,PASS86A,LC,SU,1986 Feb,1986 Mar,Passat 86,Passat cruise 1986,-,,,,SU,-                -,,OCEAN
PASS88A,,PASS88A,LC,SU,1988 Mar,1988 Apr,Passat 88,Passat cruise 1988,-,,,,SU,-                -,,OCEAN
PASS88B,,PASS88B,LC,SU,1988 Nov,1988 Nov,Passat 88,Passat cruise 1988,-,,,,SU,-                -,,OCEAN
PASS89A,,PASS89A,LC,SU,1989 Feb,1989 Feb,Passat 89,Passat cruise 1989,-,,,,SU,-                -,,OCEAN
PASS89B,,PASS89B,LC,SU,1989 May,1989 May,Passat 89,Passat cruise 1989,-,,,,SU,-                -,,OCEAN
PASS90A,,PASS90A,LC,SU,1990 Jan,1990 Jan,Passat 90,Passat cruise 1990,-,,,,SU,-                -,,OCEAN
PASS90B,,PASS90B,LC,SU,1990 Nov,1990 Nov,Passat 90,Passat cruise 1990,-,,,,SU,-                -,,OCEAN
BUGA80A,,BUGA80A,LC,SU,1980 Oct,1980 Oct,Bugaev 80,Bugaev cruise 1980,-,,,,SU,-                -,,OCEAN
BUGA81A,,BUGA81A,LC,SU,1981 Jun,1981 Jun,Bugaev 81,Bugaev cruise 1981,-,,,,SU,-                -,,OCEAN
BUGA81B,,BUGA81B,LC,SU,1981 Oct,1981 Nov,Bugaev 81,Bugaev cruise 1981,-,,,,SU,-                -,,OCEAN
BUGA82A,,BUGA82A,LC,SU,1982 Dec,1982 Dec,Bugaev 82,Bugaev cruise 1982,-,,,,SU,-                -,,OCEAN
BUGA83A,,BUGA83A,LC,SU,1983 Mar,1983 Mar,Bugaev 83,Bugaev cruise 1983,-,,,,SU,-                -,,OCEAN
BUGA87A,,BUGA87A,LC,SU,1987 Jan,1987 Jan,Bugaev 87,Bugaev cruise 1987,-,,,,SU,-                -,,OCEAN
BUGA87B,,BUGA87B,LC,SU,1987 Apr,1987 Apr,Bugaev 87,Bugaev cruise 1987,-,,,,SU,-                -,,OCEAN
BUGA89A,,BUGA89A,LC,SU,1989 Jan,1989 Jan,Bugaev 89,Bugaev cruise 1989,-,,,,SU,-                -,,OCEAN
BUGA90A,,BUGA90A,LC,SU,1990 Dec,1990 Dec,Bugaev 90,Bugaev cruise 1990,-,,,,SU,-                -,,OCEAN
ALCA,VLS,-,LP,,1997 Nov  2,*,ALCA  VLS,"VLS pad, Alcantara","Alcantara, Maranhao, Brasil",-44.3670,-2.3185,0.0020,AEB,-                -,,-
ALCA,HAD,-,LP,,1994 Aug 19,*,ALCA  HAD,"HAD launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3677,-2.3147,0.0001,AEB,-                -,,-
ALCA,MRL,-,LP,,1994 Aug 19,*,ALCA  MRL,"MRL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3677,-2.3150,0.0001,AEB,-                -,,-
ALCA,RAG,-,LP,,1994 Aug 19,*,ALCA  RAG,"RAG launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3675,-2.3148,0.0001,AEB,-                -,,-
ALCA,UL,-,LP,,1994 Aug 19,*,ALCA  UL,"UL launcher, CL Alcantara","Alcantara, Maranhao, Brasil",-44.3676,-2.3160,0.0001,AEB,-                -,,-
ALT,6,-,LP,,-,-,ALT   6,Altus AFB Site 6,"Atlus, Oklahoma",-99.2743,34.6630,0.1000,SAC,-                -,,-
AND,U3,-,LP,,1993,*,AND   U3,"Universal Launcher 3, Pad 7, Andoya",Andoya,16.0207,69.2943,0.0001,ARR,-                -,,-
AND,LC5,-,LP,,1993,*,AND   LC5,"Pad 5, Andoya",Andoya,16.0198,69.2944,0.0001,ARR,-                -,,-
AND,LC9,-,LP,,1993,*,AND   LC9,"Pad 9, Andoya",Andoya,16.0188,69.2941,0.0001,ARR,-                -,,-
AND,LC10,-,LP,,1993,*,AND   LC10,"Pad 10, Andoya",Andoya,16.0185,69.2940,0.0001,ARR,-                -,,-
AND,Athena,-,LP,,1993,*,AND   Athena,"Athena launcher, Pad 5, Andoya",Andoya,16.0207,69.2943,0.0500,ARR,-                -,,-
AND,Haugnes,-,LP,,1980,1983,AND   Haugnes,"Haugnes site, Andoy, Nordland","Haugenes, Andoy",16.1800,69.2800,0.0200,ARR,-                -,,-
ANHU,LP1,-,LP,,2005,-,Anhueng LP1,"LP1, ADD Anhueng",Anhueng Island 1,126.2375,36.6048,0.0001,ADD,-                -,,-
ANHU,LP2,-,LP,,2005,-,Anhueng LP2,"Barge launch point, ADD Anhueng",Anhueng Island 2,125.6944,36.6422,0.0001,ADD,-                -,,-
ANHU,LP3,-,LP,,2005,-,Anhueng LP3,"LP3, ADD Anhueng",South of Anhueng,125.9086,35.1355,0.0001,ADD,-                -,,-
AOR4,LP1,-,LP,,-,-,AOR4  LP1,"Atlantic Ocean, Croatan 1964 cruise 120 km off WI",Atlantic Ocean,-,-,,USN,,,OCEAN
AOR4,LP2,-,LP,,1964 Nov 11,1964 Nov 11,AOR4  LP2,"Atlantic Ocean, Croatan 1964 cruise 300 km off WI",Atlantic Ocean,-74.6700,34.4500,0.0200,USN,-                -,,OCEAN
AOR4,LP3,-,LP,,-,-,AOR4  LP3,"Atlantic Ocean, Croatan 1964 cruise off N Carolina",Atlantic Ocean,-,-,,USN,-                -,,OCEAN
AOR4,LP4,-,LP,,-,-,AOR4  LP4,"Atlantic Ocean, Croatan 1964 cruise",Atlantic Ocean,-,-,,USN,-                -,,OCEAN
AOR4,LP5,-,LP,,-,-,AOR4  LP5,"Atlantic Ocean, Croatan 1964 cruise",Atlantic Ocean,-,-,,USN,-                -,,OCEAN
AOR4,LP6,-,LP,,-,-,AOR4  LP6,"Atlantic Ocean, Croatan 1964 cruise",Atlantic Ocean,-,-,,USN,-                -,,OCEAN
AOR4,LP7,-,LP,,-,-,AOR4  LP7,"Atlantic Ocean, Croatan 1964 cruise",Atlantic Ocean,-,-,,USN,-                -,,OCEAN
AOR5,LP1,-,LP,,1965 Jan  7,1965 Jan  7,AOR5  LP1,"USNS Wheeling, 1965 Hydra-Iris SAA expedition",Atlantic Ocean,-27.4200,-56.5300,0.0200,USN,-                -,,OCEAN
AOR5,LP2,-,LP,,1965 Jan 26,1965 Jan 26,AOR5  LP2,"USNS Wheeling, 1965 Hydra-Iris SAA expedition  (LP2, ex AOR6)",Atlantic Ocean,-35.5300,-35.0500,0.0200,USN,-                -,,OCEAN
AOR7,LP1,-,LP,,1958 Aug 27,1958 Aug 27,AOR7  LP1,"USS Norton Sound, 1958 Argus expedition","Tristan de Cunha, Atlantic Ocean",-11.5000,-38.5000,0.1000,USN,-                -,,OCEAN
AOR7,LP2,-,LP,,1958 Aug 30,1958 Aug 30,AOR7  LP2,"Atlantic Ocean, Argus cruise LP2 (ex AOR8)",Atlantic Ocean,-8.2000,-49.5000,0.1000,USN,-                -,,OCEAN
AOR7,LP3,-,LP,,1958 Sep  6,1958 Sep  6,AOR7  LP3,"Atlantic Ocean, Argus cruise LP3 (ex AOR9)",Atlantic Ocean,-9.7000,-48.5000,0.1000,USN,-                -,,OCEAN
AOR11,LP1,-,LP,,1953 Jul 18,1953 Jul 18,AOR11 LP1,Atlantic Ocean Launch Site 11 Launch Point 1,Atlantic Ocean,-70.3700,42.4300,0.0100,SUI,-                -,,OCEAN
AOR11,LP2,-,LP,,1953 Jul 19,1953 Jul 19,AOR11 LP2,Atlantic Ocean Launch Site 11 Launch Point 2,Atlantic Ocean,-65.1200,43.0700,0.0100,SUI,-                -,,OCEAN
AOR11,LP3,-,LP,,1953 Jul 19,1953 Jul 19,AOR11 LP3,Atlantic Ocean Launch Site 11 Launch Point 3,Atlantic Ocean,-63.4700,43.6800,0.0100,SUI,-                -,,OCEAN
AOR11,LP4,-,LP,,1953 Jul 19,1953 Jul 19,AOR11 LP4,Atlantic Ocean Launch Site 11 Launch Point 4,Atlantic Ocean,-62.1700,44.2700,0.0100,SUI,-                -,,OCEAN
AOR11,LP5,-,LP,,1953 Jul 24,1953 Jul 24,AOR11 LP5,Atlantic Ocean Launch Site 11 Launch Point 5,Atlantic Ocean,-61.9200,58.5300,0.0100,SUI,-                -,,OCEAN
AOR11,LP6,-,LP,,1953 Jul 28,1953 Jul 28,AOR11 LP6,Atlantic Ocean Launch Site 11 Launch Point 6,Atlantic Ocean,-64.2300,62.5000,0.0100,SUI,-                -,,OCEAN
AOR11,LP7,-,LP,,1953 Aug  3,1953 Aug  3,AOR11 LP7,Atlantic Ocean Launch Site 11 Launch Point 7,Atlantic Ocean,-66.2500,62.7500,0.0100,SUI,-                -,,OCEAN
AOR11,LP8,-,LP,,1953 Aug  6,1953 Aug  6,AOR11 LP8,Atlantic Ocean Launch Site 11 Launch Point 8,Atlantic Ocean,-59.1000,64.3300,0.0100,SUI,-                -,,OCEAN
AOR11,LP9,-,LP,,1953 Aug  6,1953 Aug  6,AOR11 LP9,Atlantic Ocean Launch Site 11 Launch Point 9,Atlantic Ocean,-58.5800,65.2200,0.0100,SUI,-                -,,OCEAN
AOR11,LP10,-,LP,,1953 Aug  9,1953 Aug  9,AOR11 LP10,Atlantic Ocean Launch Site 11 Launch Point 10,Atlantic Ocean,-71.9300,74.3800,0.0100,SUI,-                -,,OCEAN
AOR11,LP21,-,LP,,1953 Aug  5,1953 Aug  5,AOR11 LP21,Atlantic Ocean Launch Site 11 Launch Point 21,Atlantic Ocean,-63.9200,62.0700,0.0100,NRL,-                -,,OCEAN
AOR11,LP22,-,LP,,1953 Aug  8,1953 Aug  8,AOR11 LP22,Atlantic Ocean Launch Site 11 Launch Point 22,Atlantic Ocean,-63.9200,73.6200,0.0100,NRL,-                -,,OCEAN
AOR11,LP23,-,LP,,1953 Aug  9,1953 Aug  9,AOR11 LP23,Atlantic Ocean Launch Site 11 Launch Point 23,Atlantic Ocean,-63.9200,74.4800,0.0100,NRL,-                -,,OCEAN
AOR11,LP24,-,LP,,1953 Aug 11,1953 Aug 11,AOR11 LP24,Atlantic Ocean Launch Site 11 Launch Point 24,Atlantic Ocean,-63.9200,74.5700,0.0100,NRL,-                -,,OCEAN
AOR11B,LP11,-,LP,,1953 Aug 30,1953 Aug 30,AOR11 LP11,Atlantic Ocean Launch Site 11 Launch Point 11,Atlantic Ocean,-55.0800,53.1000,0.0100,SUI,-                -,,OCEAN
AOR11B,LP12,-,LP,,1953 Aug 30,1953 Aug 30,AOR11 LP12,Atlantic Ocean Launch Site 11 Launch Point 12,Atlantic Ocean,-55.4000,52.7800,0.0100,SUI,-                -,,OCEAN
AOR11B,LP13,-,LP,,1953 Aug 30,1953 Aug 30,AOR11 LP13,Atlantic Ocean Launch Site 11 Launch Point 13,Atlantic Ocean,-54.7500,53.1300,0.0100,SUI,-                -,,OCEAN
AOR11B,LP14,-,LP,,1953 Sep  3,1953 Sep  3,AOR11 LP14,Atlantic Ocean Launch Site 11 Launch Point 14,Atlantic Ocean,-57.2200,44.8300,0.0100,SUI,-                -,,OCEAN
AOR11B,LP15,-,LP,,1953 Sep  3,1953 Sep  3,AOR11 LP15,Atlantic Ocean Launch Site 11 Launch Point 15,Atlantic Ocean,-57.1700,44.7500,0.0100,SUI,-                -,,OCEAN
AOR11B,LP16,-,LP,,1953 Sep  3,1953 Sep  3,AOR11 LP16,Atlantic Ocean Launch Site 11 Launch Point 16,Atlantic Ocean,-57.0500,44.5500,0.0100,SUI,-                -,,OCEAN
AOR11B,LP25,-,LP,,1953 Sep  4,1953 Sep  4,AOR11 LP25,Atlantic Ocean Launch Site 11 Launch Point 25,Atlantic Ocean,-63.9200,43.1700,0.0100,NRL,-                -,,OCEAN
AOR11B,LP26,-,LP,,1953 Sep  4,1953 Sep  4,AOR11 LP26,Atlantic Ocean Launch Site 11 Launch Point 26,Atlantic Ocean,-63.9200,43.0000,0.0100,NRL,-                -,,OCEAN
AOR12,LP1,-,LP,,1954 Jul 16,1954 Jul 16,AOR12 LP1,Atlantic Ocean Launch Site 12 Launch Point 1,Atlantic Ocean,-66.7000,42.1000,0.0100,SUI,-                -,,OCEAN
AOR12,LP2,-,LP,,1954 Jul 19,1954 Jul 19,AOR12 LP2,Atlantic Ocean Launch Site 12 Launch Point 2,Atlantic Ocean,-53.5000,54.6300,0.0100,SUI,-                -,,OCEAN
AOR12,LP3,-,LP,,1954 Jul 21,1954 Jul 21,AOR12 LP3,Atlantic Ocean Launch Site 12 Launch Point 3,Atlantic Ocean,-54.2200,59.3800,0.0100,SUI,-                -,,OCEAN
AOR12,LP4,-,LP,,1954 Jul 21,1954 Jul 21,AOR12 LP4,Atlantic Ocean Launch Site 12 Launch Point 4,Atlantic Ocean,-54.4500,59.6000,0.0100,SUI,-                -,,OCEAN
AOR12,LP5,-,LP,,1954 Jul 21,1954 Jul 21,AOR12 LP5,Atlantic Ocean Launch Site 12 Launch Point 5,Atlantic Ocean,-52.4700,59.5500,0.0100,SUI,-                -,,OCEAN
AOR12,LP6,-,LP,,1954 Jul 23,1954 Jul 23,AOR12 LP6,Atlantic Ocean Launch Site 12 Launch Point 6,Atlantic Ocean,-53.6200,59.5300,0.0100,SUI,-                -,,OCEAN
AOR12,LP7,-,LP,,1954 Jul 23,1954 Jul 23,AOR12 LP7,Atlantic Ocean Launch Site 12 Launch Point 7,Atlantic Ocean,-52.3500,59.6300,0.0100,SUI,-                -,,OCEAN
AOR12,LP8,-,LP,,1954 Jul 23,1954 Jul 23,AOR12 LP8,Atlantic Ocean Launch Site 12 Launch Point 8,Atlantic Ocean,-52.7500,59.6000,0.0100,SUI,-                -,,OCEAN
AOR12,LP9,-,LP,,1954 Jul 23,1954 Jul 24,AOR12 LP9,Atlantic Ocean Launch Site 12 Launch Point 9,Atlantic Ocean,-54.2000,59.0700,0.0100,SUI,-                -,,OCEAN
AOR12,LP10,-,LP,,1954 Jul 23,1954 Jul 24,AOR12 LP10,Atlantic Ocean Launch Site 12 Launch Point 10,Atlantic Ocean,-53.9200,58.8500,0.0100,SUI,-                -,,OCEAN
